#date questions answers comments votes views
2011-12-21 5352 10001 23059 44585 7633614
2011-12-22 4825 9250 21643 41482 7011189
2011-12-23 3967 7388 17139 33632 5755151
2011-12-24 2229 4146 9224 19158 3277936
2011-12-25 1821 3365 7891 16422 2797039
2011-12-26 3053 5242 11253 22485 4331139
2011-12-27 3934 7088 16478 31909 5387502
2011-12-28 4553 8530 18863 36801 6389501
2011-12-29 4594 8555 19332 37924 6081065
2011-12-30 3966 7457 17224 33376 5840980
2011-12-31 2384 4451 10699 21781 3574819
2012-01-01 2066 3920 9352 19345 3380183
2012-01-02 3849 7018 17227 31930 6334104
2012-01-03 5109 9759 22538 45390 7564685
2012-01-04 5632 10832 25204 47431 8517368
2012-01-05 5851 11089 26021 48856 8582987
2012-01-06 5184 10138 23520 44639 8086035
2012-01-07 3167 5782 13215 26276 4548084
2012-01-08 3203 6034 14433 27512 4722663
2012-01-09 5451 9900 23106 45902 7817903
2012-01-10 5800 10936 25126 49128 8379450
2012-01-11 6015 11159 25707 49701 9003754
2012-01-12 5921 10738 25466 49608 9515107
2012-01-13 5473 10126 23828 45920 8624699
2012-01-14 3034 5414 12384 25203 4479958
2012-01-15 3222 5730 13379 27231 3994431
2012-01-16 5336 9425 22183 44074 8123731
2012-01-17 5756 10872 25022 49878 8202812
2012-01-18 5870 11132 25478 51781 8197043
2012-01-19 5969 11014 25135 50710 8481153
2012-01-20 5417 10085 23000 47016 7613089
2012-01-21 3280 6045 13754 27093 4396893
2012-01-22 3189 5847 13689 27716 4603063
2012-01-23 5530 10073 24055 47839 7710710
2012-01-24 6124 11109 25538 51468 9312833
2012-01-25 6124 11187 25790 51681 8724334
2012-01-26 5754 10687 24683 49714 7486947
2012-01-27 5352 9853 22916 46307 7180549
2012-01-28 3223 5706 12585 25838 4558498
2012-01-29 3273 5802 13700 28431 4734555
2012-01-30 5643 10008 23296 48360 7537894
2012-01-31 6221 11142 26174 51364 8758521
2012-02-01 6165 11289 25754 52175 8564933
2012-02-02 6241 11388 26296 51872 8760044
2012-02-03 5734 10542 24207 48565 8015143
2012-02-04 3391 6100 13601 28073 4763049
2012-02-05 3342 5965 14137 28181 4740632
2012-02-06 5788 10139 23922 47968 7424211
2012-02-07 6325 11606 26448 53040 8889893
2012-02-08 6566 11961 27630 53936 9156100
2012-02-09 6528 11889 27741 52798 8800828
2012-02-10 5888 10769 25228 49154 8073446
2012-02-11 3393 6001 14291 28007 4706591
2012-02-12 3556 6109 14726 29485 5397271
2012-02-13 6069 10813 25832 50278 8381157
2012-02-14 6202 10976 26507 50875 8777197
2012-02-15 6615 11790 26387 51454 9122694
2012-02-16 6628 11884 27145 52975 9285364
2012-02-17 5936 10866 25225 48200 9404757
2012-02-18 3295 5649 12824 25212 4334663
2012-02-19 3670 6389 14836 29410 5302311
2012-02-20 6005 10468 24158 46618 7492768
2012-02-21 6443 11392 27387 52622 8413105
2012-02-22 6627 12080 27348 53012 8774033
2012-02-23 6762 12384 29601 55369 9046433
2012-02-24 6125 11092 26579 49789 8196839
2012-02-25 3635 6639 14537 29324 5286383
2012-02-26 3670 6389 15297 29628 5050301
2012-02-27 5949 10862 25333 49179 7886082
2012-02-28 6552 11877 28260 53603 8755972
2012-02-29 6428 11534 27161 51694 9195326
2012-03-01 6542 11701 26851 50768 8617582
2012-03-02 6047 11007 25908 48269 9208700
2012-03-03 3553 6068 14319 28030 4972012
2012-03-04 3599 6323 15159 31045 4370630
2012-03-05 6057 10687 25019 47808 8421161
2012-03-06 6673 12106 28431 53331 10068684
2012-03-07 6607 11781 27558 51845 9566082
2012-03-08 6221 10870 25746 49311 10098066
2012-03-09 5936 10565 25597 46592 8081349
2012-03-10 3529 6163 14113 27215 5182389
2012-03-11 3583 6254 14789 30331 5714220
2012-03-12 6222 10835 25938 48805 8630045
2012-03-13 6635 11911 27841 51021 9002670
2012-03-14 6714 12036 28693 52598 9361146
2012-03-15 6671 11953 27591 51380 9032733
2012-03-16 5893 10742 25349 47089 8230207
2012-03-17 3477 6216 14237 27562 4931518
2012-03-18 3486 5969 14789 28365 4553717
2012-03-19 6247 10851 25610 48201 8119366
2012-03-20 6551 11411 27702 51305 8946405
2012-03-21 6732 11963 28570 53612 9129553
2012-03-22 6656 11812 27969 52950 8436279
2012-03-23 5779 10744 24877 47445 7904661
2012-03-24 3559 6364 14163 27802 5331981
2012-03-25 3550 6124 14606 28989 4664608
2012-03-26 6239 11152 26175 49996 8401770
2012-03-27 6657 11962 27830 53397 9165231
2012-03-28 6760 11933 28282 53173 9140463
2012-03-29 6652 12072 28195 52683 8882409
2012-03-30 5977 11171 25882 49611 7564401
2012-03-31 3480 6086 14165 27844 4779912
2012-04-01 3514 6128 14718 28724 4621282
2012-04-02 6180 10820 26123 49574 7723952
2012-04-03 6645 11878 27930 52538 8439827
2012-04-04 6744 11735 28889 53556 8770109
2012-04-05 6295 10999 26851 50177 8237034
2012-04-06 4743 8571 20663 38886 6189878
2012-04-07 3546 5915 14166 25903 4908430
2012-04-08 3297 5641 13710 25699 4243023
2012-04-09 5239 9254 22627 42266 6379955
2012-04-10 6378 11302 28101 52108 8356977
2012-04-11 6682 11709 28334 54464 7814102
2012-04-12 6781 11791 28612 54289 9036752
2012-04-13 5920 10922 26857 48263 7930399
2012-04-14 3390 5821 14113 27032 4655683
2012-04-15 3640 6073 15035 28079 5339834
2012-04-16 6169 10617 26751 49287 7869308
2012-04-17 6570 11596 29162 52499 8422361
2012-04-18 7044 12698 30571 55046 8997559
2012-04-19 6947 12227 30120 53523 8401624
2012-04-20 6116 10785 26712 48416 7596624
2012-04-21 3609 6003 14593 28003 4525111
2012-04-22 3654 6106 15571 28642 5011287
2012-04-23 6412 10758 27494 51054 8092162
2012-04-24 6707 11695 28412 52610 8649690
2012-04-25 6806 11917 29352 53054 8871556
2012-04-26 6694 11713 28954 54372 9070484
2012-04-27 6289 11064 27646 50420 9263808
2012-04-28 3712 6306 14866 28950 5466305
2012-04-29 3611 5947 14822 28844 5067449
2012-04-30 5855 10164 25258 48584 8471883
2012-05-01 5592 9723 24700 48303 7793261
2012-05-02 6756 11834 29013 55400 9025683
2012-05-03 6794 11715 29444 55128 9482829
2012-05-04 6328 11335 27679 52494 8453742
2012-05-05 3760 6346 15835 29808 5523887
2012-05-06 3495 5895 15225 29214 4882750
2012-05-07 5993 10172 25500 49974 8147603
2012-05-08 6539 11807 28745 55586 8258954
2012-05-09 6825 11602 29115 54397 9282915
2012-05-10 6881 11791 29902 54911 8298369
2012-05-11 6098 10823 27049 49868 7662795
2012-05-12 3408 5708 13902 27441 4669975
2012-05-13 3297 5356 13709 26513 4127179
2012-05-14 6407 10624 27247 51796 8481277
2012-05-15 6920 11924 29207 55305 9506780
2012-05-16 6902 12050 29128 54293 9453419
2012-05-17 6413 11227 27578 50883 9129176
2012-05-18 6126 10707 27183 49393 8539677
2012-05-19 3456 5822 14857 26728 4937906
2012-05-20 3419 5836 15065 28220 4438212
2012-05-21 6137 10455 26487 51028 7931129
2012-05-22 6773 11659 28574 55847 8396930
2012-05-23 6843 11992 29571 55288 9066796
2012-05-24 6639 11488 28674 55266 8424022
2012-05-25 6003 10509 26724 50177 8265683
2012-05-26 3292 5574 14212 27614 4546062
2012-05-27 3133 5303 13751 26450 4079157
2012-05-28 5210 8942 21886 41400 6838796
2012-05-29 6505 11157 28153 54435 8736244
2012-05-30 6713 11749 29604 56594 7871232
2012-05-31 6413 11351 28032 52674 8166206
2012-06-01 6030 10711 26463 49040 7897961
2012-06-02 3273 5705 13937 27245 4856838
2012-06-03 3318 5637 14156 28002 4614092
2012-06-04 5935 9777 24806 46710 7609793
2012-06-05 6415 11004 27639 51539 7370541
2012-06-06 6610 11462 28976 53328 7848845
2012-06-07 6745 11460 29445 52557 8475397
2012-06-08 6042 10601 27605 51698 7124007
2012-06-09 3297 5583 14276 28653 4237880
2012-06-10 3275 5383 14400 28240 4030484
2012-06-11 6164 10339 26579 51295 7178035
2012-06-12 6654 11686 29685 57264 8821061
2012-06-13 7155 12388 31345 60564 8635399
2012-06-14 7032 12048 31325 59430 8505499
2012-06-15 6190 11087 28288 51871 7005700
2012-06-16 3384 5801 14511 28912 4305645
2012-06-17 3327 5398 13870 27736 4308813
2012-06-18 6645 11138 28440 55191 7385925
2012-06-19 7050 12222 30859 60882 7894442
2012-06-20 7230 12324 32195 61048 8160777
2012-06-21 7249 12285 31493 59539 7867325
2012-06-22 6383 11324 29042 53557 7181608
2012-06-23 3387 5775 15081 28384 4092747
2012-06-24 3370 5604 14775 28442 4068427
2012-06-25 6481 10817 28069 53764 7246186
2012-06-26 7052 12166 31609 59125 7387753
2012-06-27 7148 12185 31880 59291 9122796
2012-06-28 6942 11974 30402 57692 8185566
2012-06-29 6237 10436 27558 51473 7357722
2012-06-30 3303 5596 14470 28295 4326083
2012-07-01 3251 5395 14193 27801 3474760
2012-07-02 6235 10484 26219 52115 6869935
2012-07-03 6951 11661 30467 57192 7666658
2012-07-04 5895 10065 25019 47444 6619605
2012-07-05 6806 11501 29396 54984 7417092
2012-07-06 6481 11154 29419 52629 6950106
2012-07-07 3434 5877 14676 28418 3569321
2012-07-08 3323 5589 14712 28462 4074593
2012-07-09 6588 11036 28333 53655 6863356
2012-07-10 7113 12224 31437 58814 7713533
2012-07-11 7337 12551 31593 58292 7696691
2012-07-12 7133 12253 31610 57856 8056506
2012-07-13 6556 11309 29056 53487 6788681
2012-07-14 3341 5752 14100 28796 3917028
2012-07-15 3368 5670 14991 29780 3848964
2012-07-16 6801 11417 29804 56129 7323994
2012-07-17 7012 11630 30833 58742 7025481
2012-07-18 7365 12630 32349 58613 7696568
2012-07-19 7271 12404 31432 58292 7803476
2012-07-20 6532 11398 28290 53090 7019765
2012-07-21 3371 5629 14125 28532 3868052
2012-07-22 3477 5689 15046 28934 4004085
2012-07-23 6642 11165 29295 54526 7025613
2012-07-24 7032 12395 31478 59683 7193660
2012-07-25 7429 12519 32508 59227 8031761
2012-07-26 7280 12438 31839 59383 8235163
2012-07-27 6635 11561 28908 52791 7276663
2012-07-28 3457 5887 15022 26890 3802358
2012-07-29 3412 5801 14318 27995 3690732
2012-07-30 6654 11132 29012 54355 6676896
2012-07-31 7325 12589 31980 58673 7930684
2012-08-01 6980 12074 31093 57397 7690576
2012-08-02 6986 11999 31245 57523 7331848
2012-08-03 6413 11422 28707 51734 6576682
2012-08-04 3399 5623 14338 28560 3941379
2012-08-05 3420 5622 14203 28120 3604506
2012-08-06 6409 10753 27454 52283 6915760
2012-08-07 6987 11953 29675 58333 7233736
2012-08-08 7137 12473 30968 59113 7719084
2012-08-09 7098 12208 31164 58519 7018883
2012-08-10 6483 11282 28442 52676 6353615
2012-08-11 3130 5491 13021 26459 2942744
2012-08-12 3342 5600 14363 27953 3441903
2012-08-13 6616 11106 29025 53955 6428140
2012-08-14 6929 12105 31101 59146 6755986
2012-08-15 6324 11052 29109 54402 6137664
2012-08-16 6981 11844 30869 57409 7617106
2012-08-17 6320 10973 28938 53166 6308251
2012-08-18 3524 5840 15622 28493 3688425
2012-08-19 3232 5204 14120 28245 3558558
2012-08-20 6144 10420 27151 52851 5901210
2012-08-21 6764 11869 30330 59088 6360047
2012-08-22 7017 11927 30939 58719 7236705
2012-08-23 7122 12039 31632 58207 7027633
2012-08-24 6332 10838 28668 53610 6167393
2012-08-25 3426 5821 14863 29582 3608005
2012-08-26 3303 5602 15194 28566 3606930
2012-08-27 6278 10424 27053 52908 6199578
2012-08-28 6917 11714 30142 58586 6880832
2012-08-29 7151 12232 31540 59115 6986847
2012-08-30 7195 12471 31809 58968 7131090
2012-08-31 6141 10878 28344 52458 5939376
2012-09-01 3370 5685 14310 28679 3344714
2012-09-02 3358 5520 13946 28785 3499022
2012-09-03 5598 9104 23027 44736 5291622
2012-09-04 6646 11280 28614 58041 6544040
2012-09-05 6997 11866 30261 58759 6388237
2012-09-06 6984 12051 30120 57843 6383959
2012-09-07 6347 10980 27163 54159 6008828
2012-09-08 3501 5719 14288 29297 3057082
2012-09-09 3493 5688 14862 28664 3348616
2012-09-10 6646 10942 28139 55234 6038082
2012-09-11 7052 12043 30298 58959 6333822
2012-09-12 6939 11517 29737 57125 6586996
2012-09-13 7041 11854 30793 57851 6754934
2012-09-14 6406 10975 27530 54836 6090396
2012-09-15 3191 5228 13046 26879 3181440
2012-09-16 3437 5585 14063 29863 3510800
2012-09-17 6669 10661 27459 54655 6236398
2012-09-18 6898 11634 28886 58910 6981559
2012-09-19 6908 11444 29042 57388 8372959
2012-09-20 7001 11755 29692 58858 7412897
2012-09-21 6472 11021 27898 54749 6776438
2012-09-22 3708 6083 14847 32003 4041841
2012-09-23 3503 5914 14997 31890 3899377
2012-09-24 6719 10984 28163 57062 7072404
2012-09-25 6961 11802 30786 61228 6865969
2012-09-26 7306 12473 31358 63318 8410641
2012-09-27 7356 12670 31905 62608 7229514
2012-09-28 6388 11024 27947 54941 6286345
2012-09-29 3500 5841 14645 30497 3510199
2012-09-30 3435 5766 14902 31291 3156794
2012-10-01 6447 10702 27498 56507 6073198
2012-10-02 6614 11545 28946 60313 6327964
2012-10-03 7127 12019 30434 61767 7171277
2012-10-04 7207 12417 30652 60863 6347797
2012-10-05 6554 11569 28695 59072 5908758
2012-10-06 3770 6270 15506 33322 3588797
2012-10-07 3692 5937 15641 32491 3383492
2012-10-08 6477 10991 28302 55791 6054979
2012-10-09 7140 12224 30848 64368 6489746
2012-10-10 7559 13036 32613 67472 6501624
2012-10-11 7529 13018 32790 68156 6896984
2012-10-12 6804 11797 30058 59048 6085496
2012-10-13 3663 6262 15086 31134 3319688
2012-10-14 3800 6358 16495 33273 3437726
2012-10-15 6976 11524 30394 61476 6576414
2012-10-16 7475 12578 32613 64669 6429627
2012-10-17 7652 12833 32576 64872 6778541
2012-10-18 7660 12920 33208 66234 6653755
2012-10-19 6916 11990 30456 62136 6036585
2012-10-20 3976 6454 16306 34923 3978570
2012-10-21 4022 6523 17020 36686 3831771
2012-10-22 7136 11909 31353 65746 6543392
2012-10-23 7486 12752 32716 65075 6374616
2012-10-24 7270 12210 31170 64469 6398023
2012-10-25 7420 12648 32929 65313 6361954
2012-10-26 6465 11158 29648 62113 5378219
2012-10-27 3878 6389 16317 34088 3380485
2012-10-28 3916 6331 16810 35237 4000393
2012-10-29 6901 11070 29548 60430 6199537
2012-10-30 6997 11556 29327 60468 6379016
2012-10-31 7272 12111 31324 62335 6150608
2012-11-01 7095 11703 30391 59771 5889404
2012-11-02 6808 11131 29128 57294 6057039
2012-11-03 4052 6723 17153 34473 4078189
2012-11-04 4009 6512 17191 36415 3484972
2012-11-05 7177 11493 30402 62641 5864790
2012-11-06 7332 12053 31029 64614 6290873
2012-11-07 7448 12099 31266 63748 6119107
2012-11-08 7689 12518 32324 63900 6349640
2012-11-09 6679 11332 29372 60208 4991294
2012-11-10 3843 6160 15685 32779 3362830
2012-11-11 3917 6327 16535 34169 2971673
2012-11-12 6537 10760 27913 58577 5344267
2012-11-13 6860 11229 30128 62271 5455955
2012-11-14 7237 12003 31445 66377 5888163
2012-11-15 7469 12165 31977 63801 5925190
2012-11-16 6841 11425 29932 59932 5562739
2012-11-17 4066 6339 16699 34576 3265244
2012-11-18 4099 6457 16968 33911 3267243
2012-11-19 7327 11851 31917 61838 5235905
2012-11-20 7680 12645 33018 67161 5837695
2012-11-21 7562 12639 32526 65294 5750376
2012-11-22 6807 11216 28474 55786 5660776
2012-11-23 5914 9928 25548 50969 4592059
2012-11-24 4013 6418 16608 34116 3431193
2012-11-25 4182 6554 17808 35230 3714813
2012-11-26 7220 11833 31503 65023 6088182
2012-11-27 7803 12968 33994 70307 6166321
2012-11-28 8183 13581 35628 71704 6141077
2012-11-29 8012 13045 35415 68398 6163763
2012-11-30 6960 11652 30986 62396 5232273
2012-12-01 4137 6609 17545 36278 3483979
2012-12-02 4320 6786 17942 36821 3267536
2012-12-03 7387 11640 31013 63248 5563481
2012-12-04 7867 12843 34592 68465 5953201
2012-12-05 7954 13239 34827 69326 6263326
2012-12-06 7754 12937 34142 68782 5792659
2012-12-07 7074 11645 31953 61975 5262243
2012-12-08 4218 6665 17450 34490 3154691
2012-12-09 4145 6646 18073 35640 3134569
2012-12-10 7222 11453 31323 63885 5365344
2012-12-11 7601 12366 33293 66912 5308138
2012-12-12 7861 13064 34633 68753 5881488
2012-12-13 7625 12846 34047 67707 5869486
2012-12-14 6602 10873 29974 60355 4724524
2012-12-15 3843 6202 16857 34170 3167284
2012-12-16 3826 6076 16998 34291 2693772
2012-12-17 6823 11097 30718 61529 4816338
2012-12-18 7290 12197 32572 65319 5708147
2012-12-19 7606 13181 35952 91196 5758759
2012-12-20 7207 12626 34161 75275 5939930
2012-12-21 6132 10816 29300 62389 4560449
2012-12-22 3514 5890 15615 34139 2898978
2012-12-23 3399 5351 15087 32216 2935977
2012-12-24 4227 7180 19059 41096 3268408
2012-12-25 3264 5343 14837 32979 2681620
2012-12-26 4826 8236 21761 45086 4016688
2012-12-27 5757 9947 27101 54350 4924871
2012-12-28 5519 9561 26516 52232 4543379
2012-12-29 3806 6615 18349 36672 2918088
2012-12-30 3603 6094 17342 34793 2718688
2012-12-31 4184 7354 21049 41963 3337372
2013-01-01 3350 5622 16011 32510 2778793
2013-01-02 6131 10132 29468 60036 5326463
2013-01-03 6959 11880 33002 67504 5697464
2013-01-04 6948 11637 32002 64966 5580070
2013-01-05 4320 7265 19677 39033 3336503
2013-01-06 4201 6918 19424 38388 3102460
2013-01-07 7040 11614 32662 64809 5578550
2013-01-08 7588 12889 35115 69220 5564508
2013-01-09 7823 12991 36076 70473 5919695
2013-01-10 7933 13300 37165 69637 6037287
2013-01-11 7309 12391 34510 64107 5127845
2013-01-12 4250 7098 19195 36897 3293341
2013-01-13 4256 6879 19533 38002 3303573
2013-01-14 6890 11170 31081 63283 5232324
2013-01-15 7859 12790 35286 69039 5642020
2013-01-16 7992 13407 35716 69961 6024767
2013-01-17 7810 12794 35204 68858 5949801
2013-01-18 7333 12281 33633 64152 5183248
2013-01-19 4196 6824 18263 37198 3214166
2013-01-20 4237 6795 18904 38227 3106898
2013-01-21 7297 11645 32582 64956 5262210
2013-01-22 8065 13183 36164 72164 6107247
2013-01-23 8340 13769 37756 74750 6115690
2013-01-24 8266 13859 37347 73594 6046616
2013-01-25 7324 12271 33661 64585 5630611
2013-01-26 4323 7238 19634 37613 3386701
2013-01-27 4419 7032 19261 38511 3384948
2013-01-28 7667 12596 34386 68085 5730785
2013-01-29 8279 13301 36728 72949 5994222
2013-01-30 8461 13903 37321 73484 5963791
2013-01-31 8185 13658 37108 71256 5829562
2013-02-01 7687 12725 35098 66887 5782249
2013-02-02 4418 7162 19602 38631 3260905
2013-02-03 4411 7136 19344 38402 2970419
2013-02-04 7599 12080 33128 65733 4918635
2013-02-05 8158 13514 37096 73475 5598513
2013-02-06 8496 13767 37555 72966 5677410
2013-02-07 8473 13863 37151 72186 5888556
2013-02-08 7630 12833 34265 65418 5501604
2013-02-09 3922 6255 16391 32390 2667551
2013-02-10 4524 7130 19610 37724 3063609
2013-02-11 7592 12002 32591 64337 5069841
2013-02-12 8076 13276 36355 70526 5676562
2013-02-13 8272 13454 36685 71382 5546801
2013-02-14 8039 12913 35495 68241 5391435
2013-02-15 7378 12056 33492 63187 5103845
2013-02-16 4589 7231 19540 37097 3325181
2013-02-17 4537 7123 19469 37762 3188852
2013-02-18 7673 12387 33651 64331 4557713
2013-02-19 8715 13735 38578 74549 5865341
2013-02-20 8632 14068 37914 73423 5887809
2013-02-21 8654 14081 38690 73191 6001731
2013-02-22 8006 13236 35961 68532 5363312
2013-02-23 4749 7605 20683 38744 3098770
2013-02-24 4542 7232 20102 38721 2982542
2013-02-25 7991 12777 35167 68283 5476306
2013-02-26 8635 14230 38501 74902 5835171
2013-02-27 8852 14586 40339 76194 6197925
2013-02-28 8676 14205 38927 75127 5602694
2013-03-01 7748 13071 35666 68693 5168105
2013-03-02 4678 7458 20310 39109 3177104
2013-03-03 4756 7335 20858 39929 3386560
2013-03-04 8091 12713 35345 71548 5582258
2013-03-05 8818 14382 39995 78127 5801220
2013-03-06 9178 15046 41692 78530 6367187
2013-03-07 9002 14772 40926 77905 5978399
2013-03-08 8079 13162 36890 69210 5416836
2013-03-09 4681 7560 21331 39838 3396179
2013-03-10 4808 7441 21445 41068 3350848
2013-03-11 8280 13032 37276 71620 5613462
2013-03-12 8862 14781 41711 79054 5621076
2013-03-13 9040 14922 41384 78968 6139140
2013-03-14 8999 14518 39730 77558 5937421
2013-03-15 8031 13497 37151 69414 5419365
2013-03-16 4741 7695 20048 39746 3327116
2013-03-17 4626 7295 19874 39519 3122429
2013-03-18 8220 12929 36625 71433 4990743
2013-03-19 9039 14453 40987 77407 5823467
2013-03-20 8950 14912 41154 77742 6212422
2013-03-21 8746 14357 40004 75754 5850506
2013-03-22 7873 13218 36456 68051 5053653
2013-03-23 4692 7328 20075 38037 3141074
2013-03-24 4735 7549 20331 39949 3107928
2013-03-25 8167 12868 35845 68578 5401498
2013-03-26 8513 13954 37799 73594 6249112
2013-03-27 8445 13676 37780 73111 5577693
2013-03-28 8366 13754 37631 73676 5506437
2013-03-29 6815 11103 30692 57396 4383208
2013-03-30 4520 7217 20094 37835 2827348
2013-03-31 4378 6877 18822 36566 2858091
2013-04-01 6890 10597 29592 57433 4399885
2013-04-02 8613 13555 37437 75034 5533721
2013-04-03 8926 14422 40181 78267 5641832
2013-04-04 8839 14218 40133 77172 5979784
2013-04-05 8165 13340 37648 71898 5227489
2013-04-06 4697 7608 20847 40237 2856955
2013-04-07 4870 7465 20866 40980 3237058
2013-04-08 8282 13155 36946 71359 4691692
2013-04-09 8954 14323 39491 76321 5393376
2013-04-10 9005 14694 40353 77945 5148842
2013-04-11 8384 13466 38430 73544 5226706
2013-04-12 8179 13283 36502 69860 4926150
2013-04-13 4560 7222 19373 38197 2854522
2013-04-14 4802 7099 20744 38504 2810520
2013-04-15 7829 12363 34608 67951 4413997
2013-04-16 8471 13864 38367 73980 4985980
2013-04-17 8707 14195 39443 77064 4961896
2013-04-18 8537 13903 38497 75580 5203213
2013-04-19 7606 12398 34529 66517 4572101
2013-04-20 4562 7070 19196 37481 2688076
2013-04-21 4422 6947 19200 38471 2735906
2013-04-22 8045 12732 36555 70401 4979098
2013-04-23 8572 13681 39250 75090 5102190
2013-04-24 8704 14090 38979 75513 5292051
2013-04-25 8524 13755 38004 72853 5246746
2013-04-26 7768 12624 35400 67340 4838089
2013-04-27 4526 7181 18970 38414 2995793
2013-04-28 4707 7080 19127 38124 2997225
2013-04-29 7941 12778 35829 69530 4790605
2013-04-30 7949 12806 35961 69847 4873075
2013-05-01 6874 10990 30987 60983 3987077
2013-05-02 8199 13119 37091 70155 4844360
2013-05-03 7968 12256 34126 64342 4143969
2013-05-04 4749 6744 18633 36765 3031752
2013-05-05 4667 6542 18462 35972 2721855
2013-05-06 7927 11417 32280 62982 4050791
2013-05-07 9030 13130 37399 72598 4605003
2013-05-08 9020 13495 37145 73217 4797611
2013-05-09 8791 12705 35485 68443 4575784
2013-05-10 7955 11933 33735 66053 4299666
2013-05-11 4620 6699 18115 37405 2345230
2013-05-12 4581 6601 19345 36281 2472757
2013-05-13 8440 12192 34804 67712 4297023
2013-05-14 9046 13387 38867 72918 4495932
2013-05-15 9094 13650 38316 73483 4818139
2013-05-16 9324 13730 38188 72776 5382350
2013-05-17 8352 12407 35182 68341 4745070
2013-05-18 4671 6902 18841 36660 2692050
2013-05-19 4648 6630 19090 37269 2361851
2013-05-20 8065 11612 34109 66915 5221835
2013-05-21 9087 13123 37699 74321 4626591
2013-05-22 9414 13788 39156 76874 4851006
2013-05-23 9323 13814 39538 76559 4777623
2013-05-24 8178 12243 34631 68409 4163796
2013-05-25 4355 6260 17360 35746 2316260
2013-05-26 4254 6228 17501 36782 2131346
2013-05-27 7366 10412 28208 57377 3390147
2013-05-28 8889 13224 36868 75138 4124652
2013-05-29 9285 13874 39322 77732 4744889
2013-05-30 9170 13575 37886 74498 4514599
2013-05-31 8236 12407 35176 68952 3750543
2013-06-01 4622 6781 18572 37187 2465684
2013-06-02 4447 6280 18327 36891 2170473
2013-06-03 8198 11479 34048 68876 3783620
2013-06-04 9025 13255 37044 73885 4126716
2013-06-05 9405 13594 38447 74758 4299194
2013-06-06 9285 13735 38811 73399 4394751
2013-06-07 8506 12503 34947 67559 3870734
2013-06-08 4541 6539 17837 35066 2238987
2013-06-09 4529 6422 18205 36689 2272458
2013-06-10 8224 11511 33694 66451 3905078
2013-06-11 8894 12586 36767 71780 4175879
2013-06-12 9059 12943 36990 71068 4517990
2013-06-13 9167 13186 36923 71584 4376500
2013-06-14 8270 11838 33594 66313 3699929
2013-06-15 4349 6245 17102 33651 2090343
2013-06-16 4305 6032 16837 34735 2052712
2013-06-17 8523 11780 34992 67158 3838334
2013-06-18 9305 13336 38733 74253 4207147
2013-06-19 9389 13520 38863 75316 4087078
2013-06-20 9487 13551 38443 74486 4378217
2013-06-21 8346 12380 34551 66953 3673655
2013-06-22 4486 6547 18357 35348 1945480
2013-06-23 4350 6226 18039 35789 1842234
2013-06-24 8573 12318 35162 69898 3751556
2013-06-25 9309 13711 39242 77809 3954622
2013-06-26 9621 13936 39544 74838 4443876
2013-06-27 9546 13856 40254 73303 4403968
2013-06-28 8479 12363 36220 66449 3755395
2013-06-29 4550 6552 18058 34202 2175388
2013-06-30 4413 6285 18473 33672 2085058
2013-07-01 8175 11696 33899 64282 3577710
2013-07-02 9380 13270 38349 69868 4120347
2013-07-03 9374 13533 38525 70616 4194887
2013-07-04 8186 11659 32139 58119 3498575
2013-07-05 7721 11674 33107 58916 3262543
2013-07-06 4282 6131 17182 33094 1901717
2013-07-07 4140 5943 17347 33487 1772143
2013-07-08 8521 12136 34869 67807 3470705
2013-07-09 9241 13732 39076 74002 4127817
2013-07-10 9385 13774 38840 74073 3920795
2013-07-11 9540 13463 38433 72033 3960864
2013-07-12 8524 12270 35438 64601 3462674
2013-07-13 4254 6039 17285 32704 1906043
2013-07-14 4299 6121 17286 33189 1861033
2013-07-15 8795 12309 36063 67963 3335342
2013-07-16 9681 13895 40332 72336 4072831
2013-07-17 10018 14166 41906 75168 4049975
2013-07-18 9906 14078 40396 73747 3825979
2013-07-19 8750 12985 38129 67423 3316109
2013-07-20 4524 6507 18321 34031 1864940
2013-07-21 4591 6363 17948 33618 1881461
2013-07-22 9009 12809 36708 68170 3747478
2013-07-23 9736 14439 40970 76091 3922460
2013-07-24 9964 14571 41472 75686 4131181
2013-07-25 9903 14629 40706 75457 3942330
2013-07-26 8846 13446 37155 68004 3759657
2013-07-27 4683 6785 19108 35649 2042201
2013-07-28 4729 6616 18047 34993 1936471
2013-07-29 9037 13258 37291 70289 3537332
2013-07-30 9601 14119 40174 75949 3968380
2013-07-31 9878 14586 40968 75697 4084824
2013-08-01 9609 14364 40110 73923 3757649
2013-08-02 8596 13242 36069 66639 3455878
2013-08-03 4493 6666 18824 34296 1944763
2013-08-04 4530 6612 18044 34108 1944002
2013-08-05 8672 12423 35431 65997 3751627
2013-08-06 9298 13855 38546 73290 3727285
2013-08-07 9632 14319 40307 74744 3821663
2013-08-08 9249 13835 38808 72871 3606887
2013-08-09 7899 11967 33126 64704 3153419
2013-08-10 4336 6384 17845 34097 1665541
2013-08-11 4495 6589 18172 34048 1892584
2013-08-12 8711 12488 35971 68018 3437320
2013-08-13 9370 13847 38722 73131 3644354
2013-08-14 9372 14344 39299 74944 3890183
2013-08-15 8151 12132 34871 66591 3318063
2013-08-16 8217 12322 35765 64216 3449613
2013-08-17 4534 6654 18305 34821 1873504
2013-08-18 4630 6450 18281 34676 2012635
2013-08-19 8365 12222 34963 67227 3261490
